city,fips_regions,lon,lat,state,zipcode
"Framingham",25,-71.42,42.28,"MA",1704
"Framingham",25,-71.4000,42.33,"MA",1705
"Village of Nagog Woods",25,-71.4277,42.5198,"MA",1718
"Acton",25,-71.5130,42.4955,"MA",1719
"Acton",25,-71.4418,42.4836,"MA",1720
"Ashland",25,-71.4656,42.2593,"MA",1721
"Bedford",25,-71.2755,42.4937,"MA",1730
"Bedford",25,-71.2785,42.4586,"MA",1731
"Bolton",25,-71.608,42.4353,"MA",1740
"Carlisle",25,-71.3468,42.5246,"MA",1741
"West Concord",25,-71.3706,42.4527,"MA",1742
"Fayville",25,-71.4997,42.2924,"MA",1745
"Holliston",25,-71.4418,42.1981,"MA",1746
"Hopedale",25,-71.5190,42.1106,"MA",1747
"Hopkinton",25,-71.5487,42.2254,"MA",1748
"Hudson",25,-71.5605,42.3894,"MA",1749
"Marlborough",25,-71.5368,42.3474,"MA",1752
"Maynard",25,-71.4596,42.4249,"MA",1754
"Mendon",25,-71.5605,42.0841,"MA",1756
"Milford",25,-71.5130,42.1527,"MA",1757
"Natick",25,-71.3468,42.2775,"MA",1760
"Sherborn",25,-71.3706,42.2434,"MA",1770
"Southborough",25,-71.5368,42.3093,"MA",1772
"Lincoln",25,-71.2993,42.4217,"MA",1773
"Stow",25,-71.5130,42.4385,"MA",1775
"Sudbury",25,-71.4181,42.3847,"MA",1776
"Wayland",25,-71.3706,42.3577,"MA",1778
"Woburn",25,-71.133,42.4885,"MA",1801
"Burlington",25,-71.2043,42.5006,"MA",1803
"Burlington",25,-71.1964,42.5044,"MA",1805
"Andover",25,-71.1567,42.644,"MA",1810
"Andover",25,-71.1377,42.6585,"MA",1812
"Billerica",25,-71.2518,42.5465,"MA",1821
"Billerica",25,-71.27,42.56,"MA",1822
"Chelmsford",25,-71.3468,42.5815,"MA",1824
"Dracut",25,-71.2755,42.683,"MA",1826
"Dunstable",25,-71.4893,42.6811,"MA",1827
"Haverhill",25,-71.0379,42.7936,"MA",1830
"Haverhill",25,-71.08,42.78,"MA",1831
"Haverhill",25,-71.133,42.791,"MA",1832
"Georgetown",25,-70.9666,42.7248,"MA",1833
"Groveland",25,-71.0141,42.7518,"MA",1834
"Lawrence",25,-71.1612,42.7073,"MA",1840
"Lawrence",25,-71.1656,42.714,"MA",1841
"Lawrence",25,-71.166,42.7069,"MA",1842
"Lawrence",25,-71.1627,42.6875,"MA",1843
"Methuen",25,-71.2043,42.7276,"MA",1844
"North Andover",25,-71.0854,42.6696,"MA",1845
